ISBN,TITULO,AUTOR,ANO
9788500000000,Python - Volume 1,Thomas Cormen,2018
9788500000001,Machine Learning - Volume 2,Mitchell,2002
9788500000002,Banco de Dados - Volume 3,Brookshear,2016
9788500000003,Segurança da Informação - Volume 4,Deitel,2013
9788500000004,Arquitetura de Computadores - Volume 5,Mark Weiss,1995
9788500000005,Java - Volume 6,Russell,2002
9788500000006,Mineração de Dados - Volume 7,Knuth,1995
9788500000007,Segurança da Informação - Volume 8,Russell,2017
9788500000008,Segurança da Informação - Volume 9,Patterson,2002
9788500000009,Computação Gráfica - Volume 10,Erl,2003
9788500000010,Algoritmos - Volume 11,Silberschatz,2017
9788500000011,Arquitetura de Computadores - Volume 12,Pressman,2003
9788500000012,Banco de Dados - Volume 13,Russell,2025
9788500000013,Engenharia de Software - Volume 14,Brookshear,1997
9788500000014,Programação Web - Volume 15,Brookshear,2006
9788500000015,Compiladores - Volume 16,Knuth,2003
9788500000016,Estruturas de Dados - Volume 17,Hearn,2012
9788500000017,Python - Volume 18,Freeman,1997
9788500000018,Segurança da Informação - Volume 19,McKinney,2021
9788500000019,Análise de Dados - Volume 20,Aho,2013
9788500000020,Sistemas Operacionais - Volume 21,Deitel,1996
9788500000021,Inteligência Artificial - Volume 22,McKinney,1997
9788500000022,Inteligência Artificial - Volume 23,Brookshear,2007
9788500000023,Machine Learning - Volume 24,Hearn,2015
9788500000024,Compiladores - Volume 25,Silberschatz,2006
9788500000025,Compiladores - Volume 26,Russell,2016
9788500000026,Machine Learning - Volume 27,Deitel,2014
9788500000027,Redes - Volume 28,Stallings,2018
9788500000028,Inteligência Artificial - Volume 29,Silberschatz,2009
9788500000029,Programação Web - Volume 30,Goodfellow,2024
9788500000030,Segurança da Informação - Volume 31,Mitchell,2016
9788500000031,Engenharia de Software - Volume 32,Mark Weiss,2002
9788500000032,Estruturas de Dados - Volume 33,Pressman,2007
9788500000033,Machine Learning - Volume 34,Deitel,2001
9788500000034,Computação em Nuvem - Volume 35,Pressman,2001
9788500000035,Visão Computacional - Volume 36,Freeman,2023
9788500000036,Computação Gráfica - Volume 37,Tanenbaum,2003
9788500000037,Banco de Dados - Volume 38,Mitchell,2018
9788500000038,Segurança da Informação - Volume 39,Stallings,2003
9788500000039,Computação em Nuvem - Volume 40,Patterson,2023
9788500000040,Computação em Nuvem - Volume 41,Freeman,2006
9788500000041,Inteligência Artificial - Volume 42,Tanenbaum,2011
9788500000042,Visão Computacional - Volume 43,Deitel,2019
9788500000043,Estruturas de Dados - Volume 44,Brookshear,1999
9788500000044,Redes - Volume 45,Patterson,2014
9788500000045,Java - Volume 46,Freeman,2007
9788500000046,Análise de Dados - Volume 47,Hearn,2011
9788500000047,Machine Learning - Volume 48,Stallings,2022
9788500000048,Algoritmos - Volume 49,Brookshear,2016
9788500000049,Segurança da Informação - Volume 50,Goodfellow,2019
9788500000050,Engenharia de Software - Volume 51,Brookshear,2004
9788500000051,Arquitetura de Computadores - Volume 52,Silberschatz,2009
9788500000052,Algoritmos - Volume 53,Goodfellow,2011
9788500000053,Redes - Volume 54,Han,2024
9788500000054,Python - Volume 55,McKinney,2021
9788500000055,Mineração de Dados - Volume 56,Knuth,2001
9788500000056,Banco de Dados - Volume 57,Aho,2019
9788500000057,Redes - Volume 58,Stallings,2025
9788500000058,Mineração de Dados - Volume 59,Thomas Cormen,2014
9788500000059,Engenharia de Software - Volume 60,Szeliski,1995
9788500000060,Python - Volume 61,Aho,2023
9788500000061,Deep Learning - Volume 62,Mitchell,1996
9788500000062,Inteligência Artificial - Volume 63,Erl,2025
9788500000063,Java - Volume 64,Deitel,2018
9788500000064,Visão Computacional - Volume 65,Deitel,2019
9788500000065,Segurança da Informação - Volume 66,Tanenbaum,1999
9788500000066,Visão Computacional - Volume 67,Stallings,2000
9788500000067,Machine Learning - Volume 68,Han,2022
9788500000068,Análise de Dados - Volume 69,Patterson,2025
9788500000069,Sistemas Operacionais - Volume 70,Stallings,2019
9788500000070,Sistemas Operacionais - Volume 71,McKinney,2007
9788500000071,Compiladores - Volume 72,Hearn,2023
9788500000072,Mineração de Dados - Volume 73,Hearn,1998
9788500000073,Inteligência Artificial - Volume 74,Mitchell,1997
9788500000074,Engenharia de Software - Volume 75,Thomas Cormen,2013
9788500000075,Segurança da Informação - Volume 76,Mitchell,2013
9788500000076,Inteligência Artificial - Volume 77,Thomas Cormen,1997
9788500000077,Estruturas de Dados - Volume 78,Mitchell,1997
9788500000078,Estruturas de Dados - Volume 79,Pressman,1997
9788500000079,Mineração de Dados - Volume 80,Mitchell,2003
9788500000080,Visão Computacional - Volume 81,Russell,2012
9788500000081,Banco de Dados - Volume 82,Erl,2013
9788500000082,Visão Computacional - Volume 83,Mitchell,2020
9788500000083,Visão Computacional - Volume 84,Patterson,2001
9788500000084,Python - Volume 85,Brookshear,2016
9788500000085,Arquitetura de Computadores - Volume 86,Aho,2008
9788500000086,Arquitetura de Computadores - Volume 87,Hearn,2022
9788500000087,Estruturas de Dados - Volume 88,Brookshear,1996
9788500000088,Programação Web - Volume 89,Pressman,2020
9788500000089,Python - Volume 90,Mitchell,2001
9788500000090,Sistemas Operacionais - Volume 91,Stallings,2009
9788500000091,Banco de Dados - Volume 92,Patterson,2000
9788500000092,Machine Learning - Volume 93,Hearn,2002
9788500000093,Java - Volume 94,Hearn,2020
9788500000094,Segurança da Informação - Volume 95,Brookshear,1996
9788500000095,Segurança da Informação - Volume 96,Thomas Cormen,1997
9788500000096,Inteligência Artificial - Volume 97,Silberschatz,2008
9788500000097,Visão Computacional - Volume 98,Szeliski,2001
9788500000098,Programação Web - Volume 99,Mark Weiss,2000
9788500000099,Programação Web - Volume 100,Thomas Cormen,2007
9788500000100,Machine Learning - Volume 101,Hearn,2004
9788500000101,Arquitetura de Computadores - Volume 102,Stallings,2016
9788500000102,Visão Computacional - Volume 103,Tanenbaum,2001
9788500000103,Deep Learning - Volume 104,Russell,2025
9788500000104,Estruturas de Dados - Volume 105,Erl,2018
9788500000105,Segurança da Informação - Volume 106,Mark Weiss,2018
9788500000106,Engenharia de Software - Volume 107,Mark Weiss,1996
9788500000107,Computação em Nuvem - Volume 108,Szeliski,2011
9788500000108,Mineração de Dados - Volume 109,Silberschatz,1996
9788500000109,Mineração de Dados - Volume 110,Deitel,2022
9788500000110,Redes - Volume 111,Deitel,2014
9788500000111,Java - Volume 112,Mitchell,2007
9788500000112,Python - Volume 113,Erl,2002
9788500000113,Computação em Nuvem - Volume 114,Knuth,1996
9788500000114,Análise de Dados - Volume 115,Deitel,2008
9788500000115,Computação em Nuvem - Volume 116,Erl,2011
9788500000116,Engenharia de Software - Volume 117,Goodfellow,2001
9788500000117,Engenharia de Software - Volume 118,Mitchell,2003
9788500000118,Programação Web - Volume 119,Tanenbaum,2016
9788500000119,Deep Learning - Volume 120,Hearn,2005
9788500000120,Java - Volume 121,Thomas Cormen,2009
9788500000121,Análise de Dados - Volume 122,Erl,1998
9788500000122,Java - Volume 123,Stallings,2001
9788500000123,Mineração de Dados - Volume 124,Goodfellow,1999
9788500000124,Compiladores - Volume 125,Deitel,2023
9788500000125,Inteligência Artificial - Volume 126,Aho,2004
9788500000126,Redes - Volume 127,Hearn,2021
9788500000127,Segurança da Informação - Volume 128,McKinney,2014
9788500000128,Mineração de Dados - Volume 129,Thomas Cormen,2016
9788500000129,Segurança da Informação - Volume 130,McKinney,2024
9788500000130,Python - Volume 131,Tanenbaum,2003
9788500000131,Python - Volume 132,Brookshear,2018
9788500000132,Segurança da Informação - Volume 133,Tanenbaum,2003
9788500000133,Deep Learning - Volume 134,Knuth,2001
9788500000134,Engenharia de Software - Volume 135,Russell,2016
9788500000135,Machine Learning - Volume 136,Han,2010
9788500000136,Machine Learning - Volume 137,Mark Weiss,1997
9788500000137,Arquitetura de Computadores - Volume 138,Goodfellow,1996
9788500000138,Algoritmos - Volume 139,Pressman,2019
9788500000139,Banco de Dados - Volume 140,Goodfellow,2000
9788500000140,Computação Gráfica - Volume 141,Stallings,2017
9788500000141,Arquitetura de Computadores - Volume 142,Stallings,1995
9788500000142,Python - Volume 143,Deitel,2025
9788500000143,Banco de Dados - Volume 144,Stallings,1996
9788500000144,Compiladores - Volume 145,Erl,2012
9788500000145,Banco de Dados - Volume 146,Patterson,1999
9788500000146,Estruturas de Dados - Volume 147,McKinney,2006
9788500000147,Estruturas de Dados - Volume 148,Aho,2001
9788500000148,Inteligência Artificial - Volume 149,Brookshear,2006
9788500000149,Segurança da Informação - Volume 150,Patterson,2014
9788500000150,Banco de Dados - Volume 151,Mitchell,2022
9788500000151,Redes - Volume 152,Silberschatz,2023
9788500000152,Arquitetura de Computadores - Volume 153,Thomas Cormen,2000
9788500000153,Engenharia de Software - Volume 154,Patterson,2020
9788500000154,Inteligência Artificial - Volume 155,Goodfellow,2000
9788500000155,Python - Volume 156,Freeman,2022
9788500000156,Estruturas de Dados - Volume 157,Szeliski,2002
9788500000157,Sistemas Operacionais - Volume 158,Hearn,2006
9788500000158,Deep Learning - Volume 159,Mitchell,2002
9788500000159,Algoritmos - Volume 160,Russell,2007
9788500000160,Engenharia de Software - Volume 161,Goodfellow,2022
9788500000161,Java - Volume 162,Goodfellow,2006
9788500000162,Mineração de Dados - Volume 163,Freeman,2016
9788500000163,Segurança da Informação - Volume 164,Pressman,2025
9788500000164,Algoritmos - Volume 165,Brookshear,2023
9788500000165,Machine Learning - Volume 166,Silberschatz,2013
9788500000166,Machine Learning - Volume 167,Mark Weiss,1998
9788500000167,Análise de Dados - Volume 168,Patterson,2006
9788500000168,Engenharia de Software - Volume 169,Patterson,2014
9788500000169,Mineração de Dados - Volume 170,Brookshear,2007
9788500000170,Computação em Nuvem - Volume 171,Russell,2003
9788500000171,Estruturas de Dados - Volume 172,Patterson,1995
9788500000172,Mineração de Dados - Volume 173,Stallings,2016
